告警起点,告警结束,持续分钟,峰值分数,诊断,建议窗口,优先级
2020-07-31 01:51:00,2020-07-31 06:49:00,298,18.95,空气泄漏（官方四事件均为该模式，单模式）,2020-08-02 20:27:00,P1-紧急
2020-08-03 09:05:00,2020-08-03 09:52:00,47,10.46,空气泄漏（官方四事件均为该模式，单模式）,2020-08-03 09:41:00,P1-紧急
2020-08-03 13:39:00,2020-08-03 15:08:00,89,4.88,空气泄漏（官方四事件均为该模式，单模式）,2020-08-03 13:50:00,P2-计划
2020-08-05 08:27:00,2020-08-05 09:07:00,40,10.25,空气泄漏（官方四事件均为该模式，单模式）,2020-08-06 08:16:00,P1-紧急
2020-08-06 08:36:00,2020-08-06 09:10:00,34,19.9,空气泄漏（官方四事件均为该模式，单模式）,2020-08-08 07:36:00,P1-紧急
2020-08-07 18:19:00,2020-08-07 18:44:00,25,4.77,空气泄漏（官方四事件均为该模式，单模式）,2020-08-08 07:36:00,P3-观察
2020-08-12 00:37:00,2020-08-12 01:21:00,44,6.34,空气泄漏（官方四事件均为该模式，单模式）,2020-08-14 19:50:00,P2-计划
2020-08-13 05:04:00,2020-08-13 05:19:00,15,4.98,空气泄漏（官方四事件均为该模式，单模式）,2020-08-14 19:50:00,P2-计划
2020-08-15 00:28:00,2020-08-15 01:40:00,72,7.53,空气泄漏（官方四事件均为该模式，单模式）,2020-08-15 19:27:00,P1-紧急
2020-08-16 02:55:00,2020-08-16 03:17:00,22,6.21,空气泄漏（官方四事件均为该模式，单模式）,2020-08-16 19:49:00,P2-计划
2020-08-17 01:39:00,2020-08-17 02:14:00,35,8.15,空气泄漏（官方四事件均为该模式，单模式）,2020-08-18 13:43:00,P1-紧急
2020-08-19 10:58:00,2020-08-19 13:39:00,161,4.3,空气泄漏（官方四事件均为该模式，单模式）,2020-08-19 19:44:00,P3-观察
2020-08-21 03:44:00,2020-08-21 04:55:00,71,4.79,空气泄漏（官方四事件均为该模式，单模式）,2020-08-21 23:55:00,P2-计划
2020-08-23 18:55:00,2020-08-23 19:10:00,15,4.64,空气泄漏（官方四事件均为该模式，单模式）,2020-08-24 23:45:00,P3-观察
2020-08-26 02:18:00,2020-08-26 02:59:00,41,2.74,空气泄漏（官方四事件均为该模式，单模式）,2020-08-27 19:50:00,P3-观察
2020-08-28 01:17:00,2020-08-28 01:53:00,36,4.91,空气泄漏（官方四事件均为该模式，单模式）,2020-08-28 23:43:00,P2-计划
2020-08-29 05:01:00,2020-08-29 05:55:00,54,4.0,空气泄漏（官方四事件均为该模式，单模式）,2020-08-30 00:38:00,P3-观察
2020-09-01 02:41:00,2020-09-01 03:41:00,60,5.19,空气泄漏（官方四事件均为该模式，单模式）,无,P2-计划
